video_id,comment
5EBGhSqj8k0,Amazing
5EBGhSqj8k0,Trump has a great sense of humor😂
5EBGhSqj8k0,"“How do you like my garbage truck?”
(Camera zooms out)
Top 5 moment of 2024 😂😂"
5EBGhSqj8k0,Guy looks like harry redknapp on deadline day
5EBGhSqj8k0,Congrats Trump from switzerland ❤ he is a grounded guy and he will be good for the next 4 years 🎉 P.S. if he will survive those 4 years
5EBGhSqj8k0,"We accept the results of Pennsylvania, thank you for asking Kamala Shill"
5EBGhSqj8k0,Paper and pen voting is the best way to vote.
5EBGhSqj8k0,True
5EBGhSqj8k0,"so proud of you from Uk
Thank you Mr President
You are the chosen one and obviously JD Vance as the next President"
5EBGhSqj8k0,Woot
5EBGhSqj8k0,Man’s sidequesting before becoming president. 😂
5EBGhSqj8k0,garbage truck abc news fake news
5EBGhSqj8k0,Today the garbage man took the garbage out!!!
5EBGhSqj8k0,"Wow, four more years of the most loathsome  person on the planet.leading the free world. Ugh"
5EBGhSqj8k0,Thanks Trump for giving the “GARBAGE TRUCK” some worth 🔥 CONGRATULATIONS!!!
5EBGhSqj8k0,Trump it's bad for the USA and it's bad for the world! Not even the symbol of the USA likes Trump!
5EBGhSqj8k0,Here comes all the Kamala crybabies 😂 GOD BLESS AMERICA GO TRUMP 🇺🇸
5EBGhSqj8k0,One day in person voting across the board no exceptions. Trump sent tons of aid to Puerto Rico it sat on the tarmac wasn't distributed by the local government look it up rather than lie to the American people.
5EBGhSqj8k0,It's about time he won with the most votes. Hes a bum.
5EBGhSqj8k0,"The ""garbage"" man spews more garbage.."
5EBGhSqj8k0,Hell yeah
5EBGhSqj8k0,THE AURA IS UNMATCHED
5EBGhSqj8k0,"Trump's coming in for a FULL Sweep. Electoral, Popular, Senate, House, Supreme Court. 🧹"
5EBGhSqj8k0,Trump taking out the garbage. Commie-La and Biden 🧹👋 ✌️
5EBGhSqj8k0,HEY YOUTUBE CEO……..HERE COMES TRUMP…..YOUR GOING TI JAIL FIR ELECTION FRAUD!!!!!!!!!
5EBGhSqj8k0,It's over.
5EBGhSqj8k0,"He withheld funding because all the help he sent went straight into the pockets of the corrupt politicians and the massive amount of bottled water arrived but they failed to distribute it.  Shame on the corrupt politicians not on Trump.  Remember, in a court of law one pledges to tell the whole truth.  Press are under the same obligation albeit not the same consequences."
5EBGhSqj8k0,Well it’s great to see ABC listen to the commenters for once 😅
5EBGhSqj8k0,trump all the way
5EBGhSqj8k0,"Republicans are voting to sexually abuse women and girls, ""grab em' by the pu55y, you can do it."" Republicans are pro sexual assault, No Republican has apologized for sexually abusing little girls."
5EBGhSqj8k0,WE WANT TRUMP !!! ILLEGALS ARE GETTING BETTER BENEFITS THEM AMERICAN CITIZENS Im puerto Rican ! We love trump ❤️
5EBGhSqj8k0,TRUMP 😎👍
5EBGhSqj8k0,lets go trump kamala sucks
5EBGhSqj8k0,If trumphet gets in……its over
5EBGhSqj8k0,"Bro is answering questions from reporters in a GARBAGE truck, the irony 🤣"
5EBGhSqj8k0,LOSER!!!!!!!!!!!!!!!  I hope you ROT IN HELL!!!!!!!!!!!!!!!
5EBGhSqj8k0,Trump did not withhold funding from Puerto Rico.  Lying media sucks.  We are not buying it
5EBGhSqj8k0,Praying for Trump to win ...enough of this wokeness and illegals killing us!!
5EBGhSqj8k0,"4:28 if this doesn’t open your eyes to the news media being extremely left-sided against Trump then I don’t know what else to tell you. She goes on for about a minute and a half listing everything bad that Trump has ever done. OK what about anything good Trump has ever done? No one ever talks about how he makes it easier for black convicts to be in incarcerated a second time without being beaten to death. They don’t talk about the that have opened up for the black community. They don’t talk about the way Trump cleaned up our border and putting in new facilities and keeping children and women from being raped by our own people. But instead, they choose to spend 100% of their time making him look like a goddamn criminal."
5EBGhSqj8k0,🌹
5EBGhSqj8k0,So is this truck British that you drive on the right side? Or was this just missed in the photo op?
