cleaned_comment,topic,trump_sentiment,harris_sentiment
trump great sense humor,Donald Trump,positive,not available
congrats trump switzerland grounded guy good next years ps survive years,Donald Trump,positive,not available
accept results pennsylvania thank asking kamala shill,Kamala Harris,not available,neutral
thanks trump giving garbage truck worth congratulations,Donald Trump,positive,not available
trump bad usa bad world even symbol usa likes trump,Donald Trump,negative,not available
comes kamala crybabies god bless america go trump,Both,positive,negative
one day person voting across board exceptions trump sent tons aid puerto rico sat tarmac wasnt distributed local government look rather lie american people,Donald Trump,positive,not available
trumps coming full sweep electoral popular senate house supreme court,Donald Trump,positive,not available
trump taking garbage commiela biden,Donald Trump,positive,not available
hey youtube ceohere comes trumpyour going ti jail fir election fraud,Donald Trump,positive,not available
withheld funding help sent went straight pockets corrupt politicians massive amount bottled water arrived failed distribute shame corrupt politicians trump remember court law one pledges tell whole truth press obligation albeit consequences,Donald Trump,positive,not available
trump way,Donald Trump,positive,not available
want trump illegals getting better benefits american citizens im puerto rican love trump,Donald Trump,positive,not available
trump,Donald Trump,positive,not available
lets go trump kamala sucks,Both,neutral,neutral
trumphet gets inits,Donald Trump,negative,not available
trump withhold funding puerto rico lying media sucks buying,Donald Trump,positive,not available
praying trump win enough wokeness illegals killing us,Donald Trump,positive,not available
doesnt open eyes news media extremely leftsided trump dont know else tell goes minute half listing everything bad trump ever done ok anything good trump ever done one ever talks makes easier black convicts incarcerated second time without beaten death dont talk opened black community dont talk way trump cleaned border putting new facilities keeping children women raped people instead choose spend time making look like goddamn criminal,Donald Trump,positive,not available
trump trying hear questions wind,Donald Trump,neutral,not available
trump yesss,Donald Trump,positive,not available
democratic news outlets keep deleting pro trump comments democrats joke,Donald Trump,positive,not available
donald trump nr,Donald Trump,neutral,not available
thats trump belongs working dump truck,Donald Trump,negative,not available
trump president done nothing americans opinion trump start economic war russia china iran eu start global war bombed heights afghanistan using thermobaric weapon armed ukraine since supported idea health care moneybags newabs fetish skin color,Donald Trump,negative,not available
trump shouldnt associate w fools say dont know dont know comedian hes great dont know loomer says think great really,Donald Trump,neutral,not available
load garbage coming mouth look harris nc people still suffering years close border yet chose keep facts leave personal opinions never watch abc news oh yeah drive baby donald maybe nicetrumpvance let take notes,Both,positive,negative
trump indian people vote trump onlythen recession control,Donald Trump,positive,not available
love donald trump,Donald Trump,positive,not available
trump actually go democrats wont move muscle,Donald Trump,positive,not available
trumps halloween costume dressing like blue collar worker,Donald Trump,neutral,not available
new delhi india peoples really loves support trump kamla,Donald Trump,positive,negative
done old trump clear present danger american trust volatile puppet nuclear codes say person said tv want shea vance president sofa king weird,Donald Trump,negative,not available
trump take care puerto rico lies never admit wetting losing,Donald Trump,negative,not available
vote jill stein violent dictator trump jill stein best,Donald Trump,negative,not available
trump president understand ordinary citizens willing clean dirt caused democrats,Donald Trump,positive,not available
hilarious trump troll,Donald Trump,neutral,not available
wow donald trump garbage truck front needs back rest,Donald Trump,negative,not available
dump trump,Donald Trump,negative,not available
hey trumpty dumpty seat back old garbage bags,Donald Trump,negative,not available
god protect trump,Donald Trump,neutral,not available
aboard new trump train,Donald Trump,neutral,not available
vote donald j trump jd vance,Donald Trump,positive,not available
trump working engine keeps country moving vote trump,Donald Trump,positive,not available
trollin biden harris,Kamala Harris,not available,negative
trump,Donald Trump,positive,not available
trump gear,Donald Trump,positive,not available
